x,y,label,formula,entry_id,e_above_hull,on_hull,is_electride
0.000000,0.00000000,"mp-1187739-GGA","Y","mp-1187739-GGA",0.00000000,yes,no
0.000000,0.00354964,"mp-112-GGA","Y","mp-112-GGA",0.00354964,no,no
0.000000,0.00693288,"mp-1187717-GGA","Y","mp-1187717-GGA",0.00693288,no,no
0.000000,0.02396334,"mp-9-GGA","Y","mp-9-GGA",0.02396334,no,no
0.400000,-1.35877096,"hP5-Y3N2_s002","Y3N2","Y3N2_s002",0.02120373,no,yes
0.400000,-1.33082729,"hP15-Y3N2_s030","Y3N2","Y3N2_s030",0.04914740,no,yes
0.400000,-1.33493146,"tP10-Y3N2_s022","Y3N2","Y3N2_s022",0.04504323,no,yes
0.400000,-1.34974328,"oP10-Y3N2_s005","Y3N2","Y3N2_s005",0.03023140,no,yes
0.400000,-1.33151402,"oS40-Y3N2_s075","Y3N2","Y3N2_s075",0.04846067,no,yes
0.428571,-1.46530405,"hR21-Y4N3_s001","Y4N3","Y4N3_s001",0.01324026,no,yes
0.428571,-1.44515000,"hP14-Y4N3_s022","Y4N3","Y4N3_s022",0.03339431,no,yes
0.428571,-1.43419829,"oS14-Y4N3_s019","Y4N3","Y4N3_s019",0.04434601,no,yes
0.428571,-1.44257738,"oP14-Y4N3_s008","Y4N3","Y4N3_s008",0.03596693,no,yes
0.428571,-1.42880066,"oP7-Y4N3_s011","Y4N3","Y4N3_s011",0.04974365,no,yes
0.444444,-1.50294367,"hP9-Y5N4_s006","Y5N4","Y5N4_s006",0.03036154,no,yes
0.444444,-1.51035843,"tI18-Y5N4_s003","Y5N4","Y5N4_s003",0.02294678,no,yes
0.444444,-1.50766047,"oI18-Y5N4_s005","Y5N4","Y5N4_s005",0.02564474,no,yes
0.444444,-1.51410548,"oP18-Y5N4_s036","Y5N4","Y5N4_s036",0.01919973,no,yes
0.454545,-1.52941936,"oS22-Y6N5_s005","Y6N5","Y6N5_s005",0.03873369,no,yes
0.454545,-1.54751135,"oP11-Y6N5_s011","Y6N5","Y6N5_s011",0.02064170,no,yes
0.461538,-1.57627121,"oI26-Y7N6_s006","Y7N6","Y7N6_s006",0.01600728,no,yes
0.466667,-1.58511317,"tI30-Y8N7_s024","Y8N7","Y8N7_s024",0.02485730,no,yes
0.466667,-1.58704904,"tP15-Y8N7_s009","Y8N7","Y8N7_s009",0.02292143,no,yes
0.466667,-1.59997844,"oS30-Y8N7_s015","Y8N7","Y8N7_s015",0.00999202,no,yes
0.466667,-1.59762761,"oP15-Y8N7_s001","Y8N7","Y8N7_s001",0.01234286,no,yes
0.470588,-1.62349963,"hR51-Y9N8_s013","Y9N8","Y9N8_s013",0.00000000,yes,yes
0.470588,-1.60483801,"tI34-Y9N8_s025","Y9N8","Y9N8_s025",0.01866163,no,yes
0.500000,-1.21562905,"mp-998899-GGA","YN","mp-998899-GGA",0.47121830,no,no
0.500000,-1.33172227,"mp-1017533-GGA","YN","mp-1017533-GGA",0.35512507,no,no
0.500000,-1.59938262,"mp-6913-GGA","YN","mp-6913-GGA",0.08746472,no,no
0.500000,-1.43913611,"mp-13099-GGA","YN","mp-13099-GGA",0.24771123,no,no
0.500000,-0.75080934,"mp-13098-GGA","YN","mp-13098-GGA",0.93603800,no,no
0.500000,-1.68684735,"mp-2114-GGA","YN","mp-2114-GGA",0.00000000,yes,no
1.000000,0.00734232,"mp-570747-GGA","N2","mp-570747-GGA",0.00734232,no,no
1.000000,0.01594878,"mp-568584-GGA","N2","mp-568584-GGA",0.01594878,no,no
1.000000,3.63031759,"mp-1061298-GGA","N2","mp-1061298-GGA",3.63031759,no,no
1.000000,5.21048406,"mp-12103-GGA","N2","mp-12103-GGA",5.21048406,no,no
1.000000,0.01388648,"mp-672233-GGA","N2","mp-672233-GGA",0.01388648,no,no
1.000000,0.00005182,"mp-154-GGA","N2","mp-154-GGA",0.00005182,no,no
1.000000,5.21242543,"mp-672234-GGA","N2","mp-672234-GGA",5.21242543,no,no
1.000000,1.49342809,"mp-999498-GGA","N2","mp-999498-GGA",1.49342809,no,no
1.000000,0.00000000,"mp-25-GGA","N2","mp-25-GGA",0.00000000,yes,no
1.000000,2.03793391,"mp-1080711-GGA","N2","mp-1080711-GGA",2.03793391,no,no
1.000000,4.50657882,"mp-721759-GGA","N2","mp-721759-GGA",4.50657882,no,no
1.000000,2.17741109,"mp-1189505-GGA","N2","mp-1189505-GGA",2.17741109,no,no
1.000000,1.03679520,"mp-1176403-GGA","N2","mp-1176403-GGA",1.03679520,no,no
1.000000,1.03782192,"mp-754514-GGA","N2","mp-754514-GGA",1.03782192,no,no
